rank,name,state,revenue,growth,industry,workers,founded,yrs_on_list,previous_workers,metro,city
27,FITT Scientific,VA,15.8 Million,7329.3794,Government Services,191,2013,1,7,"Richmond, VA",Colonial Heights
28,Amherst Madison,ID,7.8 Million,7301.3354,Real Estate,8,2014,2,1,"Boise City-Nampa, ID",Boise
29,LumenAd,MT,11.8 Million,7045.3631,Software,60,2014,1,3,,Missoula
30,Bendcare,FL,156 Million,6900.2519,Health,37,2015,1,6,Miami,Boca Raton
31,The Welfont Companies,FL,20.4 Million,6870.9856,Real Estate,51,2014,2,35,Tampa,Tampa
32,Skinny Dipped,WA,10.2 Million,6641.6793,Consumer Products & Services,21,2013,1,4,Seattle,Seattle
33,RDI Technologies,TN,7.2 Million,6492.7884,Manufacturing,21,2013,1,3,,Knoxville
34,Limited Run Games,NC,20.8 Million,6388.3661,Media,21,2010,1,6,"Raleigh, NC",Apex
35,SwanLeap,WI,162.6 Million,6382.9368,Logistics & Transportation,38,2013,3,13,"Madison, WI",Madison
36,Vesta Modular,MI,48.9 Million,6337.2973,Construction,52,2014,1,2,Detroit,Southfield
37,H&C Animal Health,CO,24 Million,6287.4646,Consumer Products & Services,11,2013,1,5,Denver,Parker
38,Homesnap,MD,17.5 Million,6176.6896,Real Estate,85,2012,2,25,"Washington, DC",Bethesda
39,Paradigm Construction,TX,45.2 Million,6145.4572,Construction,27,2013,2,7,Houston,The Woodlands
40,Allata,TX,15.2 Million,6134.3502,IT System Development,71,2014,1,1,Dallas,Dallas
41,Fanchest,NY,8.3 Million,6055.9447,Retail,13,2014,1,2,New York City,New York
42,Fund That Flip,NY,6.4 Million,6017.8863,Real Estate,41,2014,1,5,New York City,New York
43,Villaway,CA,7 Million,5935.6786,Travel & Hospitality,15,2014,2,1,Los Angeles,Los Angeles
44,IQM,NY,8.8 Million,5852.2149,Advertising & Marketing,40,2014,1,12,New York City,New York
45,Home Quality Remodeling,CA,6.2 Million,5835.3894,Construction,10,2004,1,2,San Francisco,Concord
46,Beeswax,NY,16.9 Million,5768.1833,Software,56,2014,1,7,New York City,New York
47,Netizen,PA,6.3 Million,5638.3886,Security,46,2013,1,5,"Allentown-Bethlehem-Easton, PA-NJ",Allentown
48,phData,MN,9.8 Million,5638.0311,IT Management,86,2014,1,3,Minneapolis,Minneapolis
49,MDstaffers,CA,7.1 Million,5634.3141,Health,22,2010,1,6,,Rancho Cordova
50,TalEx,MD,48.5 Million,5484.3682,Human Resources,500,2012,3,70,"Washington, DC",Clarksburg
51,Nationwide Mortgage Bankers,NY,25 Million,5449.642,Financial Services,400,2011,1,4,New York City,Melville
52,Podium,UT,42.5 Million,5416.8842,Software,430,2014,2,17,"Provo-Orem, UT",Lehi
53,SIA Solutions,TX,23.9 Million,5059.5724,Environmental Services,60,2012,3,7,Houston,Houston
54,QEO Group,TX,58.8 Million,4978.2688,Insurance,87,2014,2,20,Dallas,Irving
55,Dropified,AL,5.1 Million,4971.4549,Business Products & Services,30,2015,1,2,"Birmingham, AL",Birmingham
56,Sparx Hockey,MA,8 Million,4916.2167,Consumer Products & Services,25,2014,1,8,Boston,Acton
57,TrueChoicePack,OH,7.8 Million,4908.4033,Consumer Products & Services,7,2013,1,4,Cincinnati,Mason
58,Ooze Wholesale,MI,25.9 Million,4899.0269,Consumer Products & Services,30,2015,1,6,Detroit,Oak Park
59,Progyny,NY,107.6 Million,4838.0226,Health,116,2008,2,70,New York City,New York
60,Pax8,CO,42.4 Million,4820.2665,Software,254,2012,2,25,Denver,Greenwood Village
61,Terminus,GA,21.5 Million,4730.0523,Software,162,2014,1,21,Atlanta,Atlanta
62,Chomps,FL,21 Million,4469.2113,Food & Beverage,8,2012,2,1,,Naples
63,Rad Power Bikes,WA,44.6 Million,4442.2488,Manufacturing,100,2007,1,3,Seattle,Seattle
64,TradePending,NC,5.8 Million,4430.138,Software,28,2014,1,3,,Chapel Hill
65,West Creek Financial,VA,89.7 Million,4405.2286,Financial Services,158,2014,1,4,"Richmond, VA",Glen Allen
66,CityLift Parking,CA,10.7 Million,4401.8691,Construction,40,2015,1,5,San Francisco,Oakland
67,Associated Veterans,VA,12.8 Million,4345.779,Government Services,64,2007,2,1,"Washington, DC",Arlington
68,Fetch Rewards,WI,9 Million,4322.5573,Software,63,2013,1,31,"Madison, WI",Madison
69,10X Genomics,CA,146.3 Million,4308.7444,Health,380,2012,1,110,San Francisco,Pleasanton
70,4th & Heart,CA,14.3 Million,4283.2753,Food & Beverage,7,2014,1,5,Los Angeles,Venice Beach
71,GreenPrint,GA,6.2 Million,4281.4016,Energy,13,2014,1,7,Atlanta,Atlanta
72,Sky Marketing Corporation,TX,4.7 Million,4279.7746,Consumer Products & Services,30,2015,1,3,Austin,Austin
73,Pendo,NC,20.9 Million,4266.8158,Software,258,2013,1,28,"Raleigh, NC",Raleigh
74,Core Software Technologies,NJ,4.6 Million,4246.751,Software,39,2011,3,1,New York City,Plainsboro
75,EcoSystems,FL,6.7 Million,4233.6744,Environmental Services,36,2012,1,2,Miami,Miami
76,Brickell Men's Products,ME,10 Million,4207.8615,Health,35,2014,1,2,,Portland
77,Patton Warehousing,PA,8.2 Million,4138.1126,Logistics & Transportation,78,2015,1,11,,Milton
78,SydanTech,MD,4.3 Million,4090.7424,Government Services,14,2000,1,1,"Washington, DC",Bethesda
79,WT Stevens Construction,MI,7.2 Million,4089.6557,Construction,40,2002,1,6,,Flint
80,Wandrd,UT,4.7 Million,4088.016,Consumer Products & Services,12,2015,1,2,"Provo-Orem, UT",Orem
81,Confidio,MD,16.3 Million,4035.1825,Health,38,2014,1,8,Baltimore,Towson
82,Dynamic Logistix,KS,54.4 Million,3839.842,Logistics & Transportation,50,2015,1,4,"Kansas City, MO-KS",Overland Park
83,Asset Panda,TX,5.1 Million,3778.5391,Software,50,2012,2,15,Dallas,Frisco
83,SeaBay Building Group,CA,25.8 Million,3775.1386,Construction,25,2013,1,3,San Francisco,Hayward
84,Blue Fire Leads,UT,9 Million,3727.5346,Advertising & Marketing,13,2014,2,10,"Provo-Orem, UT",Provo
85,Loanatik,AZ,9 Million,3692.351,Financial Services,19,2015,1,3,Phoenix,Phoenix
86,SupportNinja,TX,4.5 Million,3683.6824,Business Products & Services,463,2015,1,22,Austin,Austin
87,Grove Collaborative,CA,104.1 Million,3665.0612,Consumer Products & Services,1200,2012,2,30,San Francisco,San Francisco
88,Cisoshare,CA,3.9 Million,3623.0563,Security,25,2015,1,3,Los Angeles,San Juan Capistrano
89,DigitalOnUS,CA,10.4 Million,3534.7663,IT System Development,178,2015,2,11,San Jose,San Jose
90,GForce Life Sciences,IL,14.4 Million,3531.5913,Human Resources,49,2013,2,4,Chicago,Chicago
91,Capitol Bridge,VA,6.4 Million,3469.3889,Government Services,35,2012,2,5,"Washington, DC",Arlington
92,Kentucky Counseling Center,KY,4.9 Million,3417.6308,Health,19,2014,1,1,"Louisville/Jefferson County, KY-IN",LOUISVILLE
93,Shefit,MI,6.6 Million,3399.5282,Retail,25,2013,2,3,,Hudsonville
94,US Mobile,NY,7.3 Million,3387.6552,Telecommunications,65,2014,1,7,New York City,White Plains
95,Feedonomics,CA,7.4 Million,3371.028,Advertising & Marketing,85,2014,1,1,Los Angeles,Woodland Hills
96,Amenity Health,CA,15.3 Million,3357.7038,Health,16,2011,1,8,San Diego,San Diego
97,Payability,NY,13.7 Million,3350.0091,Financial Services,54,2014,1,10,New York City,New York
98,Eagle Transport and Logistics,OH,4.8 Million,3339.6237,Logistics & Transportation,35,2014,1,1,"Columbus, OH",Columbus
99,ShipBob,IL,34.2 Million,3325.7138,Logistics & Transportation,450,2014,1,25,Chicago,Chicago
100,Powerhome Solar,NC,102.9 Million,3307.1657,Construction,585,2015,2,15,,Mooresville
101,LendingOne,FL,13.9 Million,3279.2231,Financial Services,50,2014,1,18,Miami,Boca Raton
102,OwnBackup,NJ,9 Million,3244.549,Software,86,2015,1,4,New York City,Fort Lee
103,Invictus International Consulting,VA,33 Million,3215.1141,Government Services,151,2014,1,24,"Washington, DC",Alexandria
104,Go Energistics,TX,14.4 Million,3210.2557,Construction,46,2011,1,1,Dallas,Colleyville
105,Total Expert,MN,11.1 Million,3205.607,Software,180,2014,2,12,Minneapolis,Minneapolis
106,BuzzyBooth,CA,3.5 Million,3201.1488,Business Products & Services,18,2015,1,3,Los Angeles,Santa Monica
107,Carolin Soldo Coaching & Events,NY,3.9 Million,3178.6799,Business Products & Services,1,2015,1,1,,Hamburg
108,Cognira,GA,7.6 Million,3135.6529,Software,50,2015,1,8,Atlanta,Atlanta
109,B3 Group,VA,59.3 Million,3134.4692,Government Services,145,2008,3,17,"Washington, DC",Herndon
110,Inspiranza Designs,IL,4.7 Million,3099.3348,Retail,10,2005,2,2,"St. Louis, MO-IL",Columbia
111,OnesourcePCS,FL,7.8 Million,3051.3322,Government Services,52,2002,1,12,,PENSACOLA
112,Cience Technologies,CA,3.8 Million,3050.0025,Advertising & Marketing,310,2015,1,30,San Diego,Solana Beach
113,Austin Cryo Ventures,TX,5.1 Million,3031.4203,Health,15,2015,1,2,Austin,Austin
114,Sweet Loren's,NY,6.4 Million,3026.3532,Food & Beverage,5,2010,1,3,New York City,New York
115,Copper,CA,19 Million,3023.1328,Software,191,2013,1,46,San Francisco,San Francisco
116,5 Star Roofing and Restoration,AL,3.3 Million,2994.2888,Construction,40,2015,1,1,"Birmingham, AL",Birmingham
117,DigitalCrafts,GA,3.1 Million,2957.353,Education,30,2015,1,3,Atlanta,Atlanta
118,LoadUp Technologies,GA,3.7 Million,2938.5449,Logistics & Transportation,15,2014,1,1,Atlanta,Atlanta
119,SkillSet Group,CA,23.6 Million,2911.1746,Human Resources,740,2013,2,5,Los Angeles,Santa Ana
120,Ally Logistics,MI,25.8 Million,2872.1059,Logistics & Transportation,37,2012,1,12,,Grand Rapids
121,BAMFi,GA,12.3 Million,2861.2369,Financial Services,66,2012,1,12,Atlanta,Atlanta
122,Potoo,CT,6.6 Million,2812.6796,Business Products & Services,60,2014,1,15,"Bridgeport-Stamford-Norwalk, CT",Norwalk
123,Parsons Xtreme Golf,AZ,79 Million,2804.9504,Consumer Products & Services,196,2014,1,32,Phoenix,Scottsdale
124,Onfleet,CA,3.5 Million,2795.4057,Logistics & Transportation,19,2012,1,7,San Francisco,San Francisco
125,PatientPop,CA,38.8 Million,2781.5682,Health,375,2014,1,75,Los Angeles,Santa Monica
126,Gravity IT Resources,FL,4.7 Million,2773.5884,Business Products & Services,25,2015,1,5,Miami,Fort Lauderdale
127,MedLab International,OH,3.2 Million,2742.6432,Health,8,2015,1,1,,Cortland
128,Equity & Help,FL,3.2 Million,2729.3507,Business Products & Services,20,2014,1,4,Tampa,Clearwater
129,Ridgeline International,VA,30 Million,2728.9886,Telecommunications,125,2015,1,8,"Washington, DC",Tysons Corner
130,China Metal Solutions,IL,3.1 Million,2704.9665,Manufacturing,5,2015,1,1,Chicago,Chicago
131,BlueSky Resource Solutions,GA,6.7 Million,2696.6319,Business Products & Services,98,2013,1,12,Atlanta,Atlanta
132,Centauri Health Solutions,AZ,84.8 Million,2694.3302,Health,941,2014,1,51,Phoenix,scottsdale
133,CellTrade NY,NY,12.4 Million,2689.6148,Consumer Products & Services,11,2015,1,2,New York City,Hicksville
134,Exabeam,CA,38.8 Million,2678.5391,Security,274,2013,2,54,San Francisco,San Mateo
135,Kinsmen Group,PA,4 Million,2668.0059,Software,21,2015,1,5,Philadelphia,West Chester
136,Owens Recovery Science,TX,5.4 Million,2657.4127,Health,6,2015,1,2,"San Antonio, TX",San Antonio
137,WinIt,NY,6.5 Million,2635.922,Consumer Products & Services,6,2014,1,2,New York City,New York
138,Techolution,NY,9.8 Million,2633.9525,IT System Development,176,2014,1,10,New York City,New York
139,Solvix Solutions,NJ,20.4 Million,2623.9495,Computer Hardware,10,2013,2,2,Philadelphia,Marlton
140,LoveBug Probiotics,NY,3.1 Million,2620.7598,Consumer Products & Services,4,2015,1,2,New York City,New York
141,Nationwide Pharmaceutical,TX,7.1 Million,2618.0195,Government Services,12,2014,1,3,"San Antonio, TX",San Antonio
142,Freedom Forever,CA,101.1 Million,2603.3871,Energy,358,2013,2,84,"Inland Empire, CA",Temecula
143,Alpha Omega Integration,VA,25.1 Million,2596.3186,Government Services,145,2010,2,1,"Washington, DC",Vienna
144,Arsenal Strength,TN,4.7 Million,2578.6272,Business Products & Services,4,2014,1,2,,Knoxville
145,Capital Brand Group,MD,3.5 Million,2564.3741,Construction,16,2013,1,2,"Washington, DC",Silver Spring
146,FedWriters,VA,5.4 Million,2555.657,Government Services,57,2010,2,1,"Washington, DC",Fairfax
147,Sethmar Transportation,KS,9.2 Million,2540.4145,Logistics & Transportation,18,1999,1,1,"Kansas City, MO-KS",Overland Park
148,Hyperion Partners,NV,18.5 Million,2525.5636,Telecommunications,36,2012,2,3,"Las Vegas, NV",Las Vegas
149,Arcalea,IL,2.8 Million,2514.3021,Advertising & Marketing,12,2015,1,2,Chicago,Chicago
150,Haga Kommer,ND,5.5 Million,2506.9262,Financial Services,55,2006,2,1,,Fargo
151,Waggl,CA,4.4 Million,2482.3452,Software,55,2014,1,6,San Francisco,Sausalito
152,Roman Roofing,FL,21.8 Million,2482.1293,Construction,71,2015,1,21,,Florida
153,Akumina,NH,4.4 Million,2474.5437,Software,48,2011,1,20,,Nashua
154,ShipMonk,FL,28.4 Million,2470.116,Logistics & Transportation,350,2014,2,30,Miami,Deerfield Beach
155,BrillMedia.co,CA,4 Million,2465.5724,Advertising & Marketing,5,2013,1,1,Los Angeles,Lake Balboa
156,Rocket Insights,MA,13.6 Million,2417.9715,Software,58,2015,1,5,Boston,Boston
157,Tridant Solutions,CA,3 Million,2415.7359,Government Services,42,2005,2,5,Los Angeles,Pasadena
158,ESC Choice,NY,20.6 Million,2412.1029,Human Resources,545,2009,8,166,,Amherst
159,Nugget,NC,3 Million,2391.8563,Consumer Products & Services,15,2014,1,3,,Hillsborough
160,Octopi Brewing,WI,4.9 Million,2383.9486,Manufacturing,36,2014,1,5,"Madison, WI",Waunakee
161,KnowBe4,FL,72.3 Million,2370.3591,Security,650,2010,4,200,Tampa,Clearwater
162,Kinect Solar,TX,13.3 Million,2358.2483,Energy,8,2015,1,2,Austin,Austin
163,ComplianceQuest,FL,2.5 Million,2356.7776,Software,60,2013,1,25,Tampa,Tampa
164,DecisionPoint,MD,15.9 Million,2354.4235,IT Management,100,2011,1,6,"Washington, DC",Gaithersburg
165,Bombas,NY,100.8 Million,2345.0086,Consumer Products & Services,63,2013,2,11,New York City,New York
166,Jonas Paul Eyewear,MI,3 Million,2339.9302,Consumer Products & Services,12,2013,1,3,,Grand Rapids
167,Tamimi Pharmacy,FL,15.5 Million,2313.8369,Health,40,2013,1,8,Tampa,Temple Terrace
168,Ad Hoc,MD,53.1 Million,2305.0499,Government Services,199,2014,1,2,"Washington, DC",Silver Spring
169,Valify,TX,3.1 Million,2276.0888,Software,36,2014,1,7,Dallas,Frisco
170,Sapper Consulting,MO,6.4 Million,2274.4095,Advertising & Marketing,90,2014,2,6,"St. Louis, MO-IL",St. Louis
171,Privy,MA,3 Million,2262.8641,Advertising & Marketing,30,2012,1,3,Boston,Boston
172,Scooch,IN,5.7 Million,2248.4713,Consumer Products & Services,8,2015,1,3,"Indianapolis, IN",Noblesville
173,Monkedia,TX,17.4 Million,2240.0028,Advertising & Marketing,48,2014,2,2,Dallas,Irving
174,UPshow,IL,2.6 Million,2235.9439,Business Products & Services,30,2015,1,8,Chicago,Chicago
175,CampusLogic,AZ,14.2 Million,2233.8331,Software,105,2011,3,25,Phoenix,"Chandler,"
176,PCC Cleaning and Maintenance,NY,12 Million,2230.9276,Environmental Services,80,2015,1,40,New York City,Brooklyn
177,Quirk Creative,NY,3.3 Million,2205.1824,Advertising & Marketing,9,2015,1,2,New York City,Brooklyn
178,Tricopian,CA,7 Million,2171.9647,Consumer Products & Services,18,2011,1,5,San Diego,Poway
179,Efficient Home Services of Florida,FL,9.9 Million,2155.4069,Energy,50,2011,1,10,Tampa,Tampa
180,Fitness Cubed,IL,10.3 Million,2142.2695,Manufacturing,13,2014,1,3,Chicago,Chicago
181,Velox Media,ID,3.1 Million,2142.0754,Advertising & Marketing,41,2007,1,1,"Boise City-Nampa, ID",Boise
182,1Link Technology,TN,4.6 Million,2138.2034,IT Management,55,2014,1,20,,Germantown
183,Quadrant Resource,WA,12.8 Million,2122.6612,Software,100,2004,2,15,Seattle,Redmond
184,MyHealth,GA,2.7 Million,2116.411,Health,64,2015,1,12,Atlanta,Brookhaven
185,Velocity Global,CO,85.8 Million,2112.1974,Business Products & Services,103,2014,2,3,Denver,Denver
186,Oseth Group,VA,5.4 Million,2107.0365,Construction,23,2015,1,1,"Washington, DC",Sterling
187,Koia,CA,8.2 Million,2100.9602,Food & Beverage,15,2013,1,1,Los Angeles,San Diego
188,Sifted,GA,6.9 Million,2099.2097,Food & Beverage,142,2015,1,6,Atlanta,Atlanta
189,PRx Performance,ND,7.2 Million,2097.5285,Retail,18,2013,2,3,,Fargo
190,Universal Yums,NJ,12.7 Million,2095.6151,Food & Beverage,28,2014,1,2,New York City,Parsippany-Troy Hills
191,Bridge Brothers,GA,4.1 Million,2081.8945,Manufacturing,14,2015,1,1,Atlanta,Atlanta
192,Dynamic Systems Technology,VA,24.7 Million,2077.0156,Government Services,350,1995,4,35,"Washington, DC",Fairfax
193,Supinf Technologies,MD,4.5 Million,2076.8839,Government Services,10,2009,1,2,"Washington, DC",Rockville
194,Davis Cargo,FL,32.9 Million,2068.4929,Logistics & Transportation,45,2014,1,4,"Orlando, FL",orlando
195,Polaris Energy Services,CA,2.2 Million,2047.1979,Energy,10,2014,1,2,,San Luis Obispo
196,SetSchedule,CA,3.6 Million,2037.4483,Real Estate,62,2014,1,5,Los Angeles,Irvine
197,L2 Defense,MD,20.8 Million,2037.0893,Government Services,60,2012,3,10,Baltimore,Middle River
198,Motivosity,UT,3.6 Million,2029.6606,Software,18,2013,1,4,"Provo-Orem, UT",Orem
199,Advoc8,DC,14.3 Million,2026.9981,Advertising & Marketing,30,2015,1,1,"Washington, DC",Washington
200,Real Plans,CA,4 Million,2018.2299,Software,23,2014,2,8,Los Angeles,Walnut
201,Axiom Strategies,MO,138.4 Million,2013.474,Advertising & Marketing,102,2005,1,27,"Kansas City, MO-KS",Kansas City
202,Midway Staffing,IL,40.5 Million,2007.0456,Business Products & Services,2330,2015,1,220,Chicago,Berwyn
203,Perfect Part,CA,2.3 Million,2004.3858,Telecommunications,5,2013,1,2,Los Angeles,North Hollywood
204,Silverline Home Remodeling,CA,2.2 Million,1996.5182,Construction,5,2014,1,1,Los Angeles,Canoga Park
205,Maxim Zenwise Opco,FL,37.5 Million,1987.4327,Consumer Products & Services,25,2014,1,3,"Orlando, FL",Orlando
206,World Housing Solution,FL,5.1 Million,1972.0257,Manufacturing,29,2011,2,3,"Orlando, FL",SANFORD
207,City Ventures,NE,113.5 Million,1967.9181,Real Estate,250,2013,2,50,"Omaha-Council Bluffs, NE-IA",Omaha
208,Web Presence,FL,3.9 Million,1963.2293,Advertising & Marketing,23,2014,1,5,,Sarasota
209,Energy Earth,TN,22.3 Million,1952.8258,Advertising & Marketing,42,2011,1,14,,Chattanooga
210,Empowered Electric,MO,3.6 Million,1944.0214,Construction,28,2015,1,4,"Kansas City, MO-KS",North Kansas City
211,Bookkeeper Business Launch,WY,4.4 Million,1939.8376,Education,8,2015,1,1,,Cheyenne
212,Noom,NY,61.1 Million,1938.0352,Health,1246,2008,1,105,New York City,New York City
213,Zenith Engineers,CA,2.7 Million,1924.2817,Engineering,30,2009,2,6,San Francisco,Hayward
214,Let's Make A Lead,FL,4.1 Million,1918.6756,Business Products & Services,14,2014,1,2,Miami,Miami
215,Momentum Solar,NJ,161.8 Million,1917.0019,Energy,1160,2009,4,40,New York City,South Plainfield
216,Radius Networks,DC,31.5 Million,1915.1007,Software,54,2011,2,21,"Washington, DC",Washington
217,Fattmerchant,FL,4.5 Million,1914.7356,Financial Services,75,2014,1,5,"Orlando, FL",Orlando
218,Infinium Group,CA,3.5 Million,1905.462,Human Resources,8,2014,1,3,"Inland Empire, CA",MURRIETA
219,Memory.net,CA,18.7 Million,1901.165,Computer Hardware,11,2000,1,4,Los Angeles,SAN CLEMENTE
220,FactoryPure,TX,6.1 Million,1882.7744,Retail,5,2013,1,2,"San Antonio, TX",san antonio
221,Untappd,NC,10 Million,1882.0257,Software,90,2010,3,2,,Wilmington
222,MikMak,NY,2.7 Million,1877.5153,Advertising & Marketing,11,2015,1,5,New York City,New York
223,Fusion Recruiting Labs,NJ,7.7 Million,1851.6306,Software,45,2015,1,7,New York City,Red Bank
224,Office Libations,CA,4.5 Million,1843.5572,Food & Beverage,15,2014,1,3,San Francisco,Oakland
225,Broker Online Exchange,NY,8.2 Million,1838.3239,Energy,25,2013,1,7,New York City,Suffern
226,ODL Services,VA,6.6 Million,1820.781,Government Services,15,2012,2,3,Virginia Beach,Virginia Beach
227,Platinum Health,FL,10.7 Million,1813.5417,Health,4,2014,1,2,"Orlando, FL",Orlando
228,Avelead,GA,7.2 Million,1808.729,IT System Development,40,2014,2,8,Atlanta,Suwanee
229,CMG-Midwest,MO,2.6 Million,1802.2541,Construction,5,2012,1,1,"Kansas City, MO-KS",Cleveland
230,Quince Orchard Psychotherapy,MD,2.9 Million,1797.1431,Health,33,2015,1,3,"Washington, DC",Gaithersburg
231,RedShelf,IL,46.2 Million,1797.0416,Education,79,2012,2,22,Chicago,Chicago
232,TransAmerica Express Logistics,CA,120.5 Million,1795.6922,Logistics & Transportation,22,2015,1,2,,Sacramento
233,Flipcause,CA,4.7 Million,1792.335,Software,30,2012,1,11,San Francisco,Oakland
234,Simply NUC,TX,12 Million,1790.0996,Computer Hardware,44,2015,1,5,Austin,Round Rock
235,Virtual Machine Solutions,CA,2.3 Million,1789.8022,IT Management,3,2014,1,1,Los Angeles,Los Angeles
236,Gateway Genomics,CA,4.3 Million,1786.4145,Health,19,2014,1,10,San Diego,La Jolla
237,Strativia,MD,11.1 Million,1781.0661,Government Services,152,2007,1,11,"Washington, DC",LARGO
238,ClockShark,CA,3.6 Million,1775.3905,Software,25,2014,1,3,,Chico
239,TriFold,OH,7.3 Million,1765.6791,Manufacturing,6,2013,1,2,"Columbus, OH",Columbus
240,Energy Ogre,TX,6.3 Million,1763.0807,Consumer Products & Services,60,2013,1,10,Houston,Houston
241,D. Ott Construction,PA,3.3 Million,1759.1475,Construction,5,2015,1,2,"Lancaster, PA",Lancaster
242,Medisuite,NC,2.1 Million,1738.1728,Health,12,2013,1,2,"Raleigh, NC",Cary
243,MYTA Technologies,MD,5.3 Million,1733.9362,Human Resources,40,2014,1,10,"Washington, DC",Bethesda
244,Deal Partners,FL,26.3 Million,1732.6297,Consumer Products & Services,21,2012,3,5,Miami,Doral
245,Tier4 Group,GA,4.6 Million,1729.3981,Business Products & Services,0,2010,1,3,Atlanta,Atlanta
246,IES,CO,13.4 Million,1726.7615,Manufacturing,25,2014,1,4,,LaSalle
247,ResiCap,GA,467.4 Million,1723.8604,Real Estate,900,2010,2,75,Atlanta,Atlanta
248,Transcend Security Solutions,AZ,8.3 Million,1713.4616,Security,275,2014,1,35,Phoenix,Phoenix
249,GlobalTex USA,FL,2.3 Million,1710.2375,Business Products & Services,10,2015,1,2,Miami,Miami
250,Vespa Group,IN,4.4 Million,1702.6456,IT System Development,59,2014,1,6,"Indianapolis, IN",Indianapolis
251,Bridgewater Homes,CO,46.2 Million,1700.1602,Construction,18,2015,2,4,,Loveland
252,Park Financial Group,MN,7.4 Million,1699.3732,Financial Services,35,2015,1,10,Minneapolis,Minneapolis
253,Chronovo,MA,3.7 Million,1692.6066,Insurance,25,2014,1,12,Boston,Burlington
254,Maverick Media Ventures,ID,3.1 Million,1692.6046,Consumer Products & Services,9,2014,1,2,,Garden City
255,Kortx,MI,10.5 Million,1685.8634,Advertising & Marketing,20,2014,1,4,Detroit,Royal Oak
256,Bawla Consulting,NY,10.1 Million,1681.6204,Human Resources,2,2014,1,1,New York City,Valley Stream
257,Pawstruck,CA,8.8 Million,1677.2331,Retail,15,2014,2,3,Los Angeles,Long Beach
258,Blue Raven Solar,UT,58.8 Million,1672.8297,Energy,250,2014,1,30,"Provo-Orem, UT",American Fork
259,Woom Bikes USA,TX,7.2 Million,1666.4879,Consumer Products & Services,25,2014,1,2,Austin,Austin
260,Mixt Solutions,OH,3.7 Million,1661.7406,Consumer Products & Services,5,2014,1,3,"Columbus, OH",Plain City
261,ThrivePass,CO,4.2 Million,1653.9969,Health,31,2015,1,12,Denver,Denver
262,Premier Health Solutions,TX,8.5 Million,1653.441,Insurance,29,2012,1,16,Dallas,Frisco
263,Impact Analytics,MD,4.7 Million,1651.5508,Business Products & Services,175,2014,2,20,Baltimore,"Linthicum, MD 21090"
264,Hemper,NY,4.5 Million,1650.6419,Consumer Products & Services,18,2015,1,3,New York City,HAUPPAUGE
